,0
im,440
like,392
think,330
people,275
dont,271
esfj,264
one,243
know,222
type,214
thing,192
get,189
time,184
really,180
would,179
feel,158
love,152
lot,150
much,140
ive,140
friend,140
esfjs,136
make,134
well,120
good,115
want,115
way,114
say,105
though,101
something,99
also,99
always,95
fe,92
find,92
see,92
year,92
someone,89
thats,87
lol,86
hundred,85
sure,83
even,82
help,80
two,78
intp,78
guy,75
first,74
need,73
life,73
could,72
youre,72
id,72
function,71
go,69
probably,69
mean,67
sometimes,66
cant,66
relationship,65
come,65
take,65
person,64
feeling,62
maybe,62
best,62
going,61
pretty,61
agree,60
many,60
thought,59
happy,59
others,59
said,57
yes,57
still,56
never,56
read,54
thank,53
question,53
right,53
post,52
tell,52
thanks,52
definitely,52
thread,52
anything,52
little,51
http,51
personality,51
actually,51
kind,51
great,50
back,50
hard,50
mbti,49
sound,49
talking,48
new,47
try,47
test,46
seem,46
didnt,46
doesnt,46
forum,46
work,45
ne,45
let,45
different,45
got,45
infp,45
may,45
thousand,44
around,43
might,43
usually,42
talk,42
everyone,42
yeah,42
enfp,41
since,41
reason,41
understand,41
problem,41
intj,41
day,41
entp,41
look,40
welcome,40
trying,40
quite,40
using,40
better,39
fun,39
si,39
intps,39
believe,39
tend,39
ill,39
long,39
another,39
ti,39
nice,38
show,38
interesting,38
ever,38
every,38
isfj,37
bad,36
shes,36
everything,35
seems,35
enough,35
keep,35
fi,35
three,35
true,35
infj,35
give,35
often,35
school,35
bit,34
isfp,34
anyone,34
part,34
getting,33
idea,33
use,33
last,33
used,33
close,32
word,32
thinking,32
sense,32
sent,32
ask,31
oh,31
high,31
havent,31
ni,30
personally,30
twenty,30
ten,30
mind,29
iphone,29
movie,29
especially,28
past,28
se,28
enfj,28
point,28
start,28
else,28
made,28
saying,27
book,27
however,27
place,27
big,27
experience,27
took,27
tapatalk,27
guess,27
theyre,27
far,26
thirty,26
favorite,26
sorry,26
care,26
mom,26
already,26
esfp,26
girl,26
hey,26
almost,25
enjoy,25
either,25
arent,25
five,25
enneagram,25
alone,25
social,25
situation,25
done,24
change,24
hate,24
isnt,24
found,24
ago,24
hi,24
based,24
along,24
four,24
seen,24
sister,24
least,24
together,23
youve,23
estj,23
month,23
relate,23
put,23
interested,23
value,23
example,23
please,22
general,22
looking,22
exactly,22
introvert,22
istj,22
hope,22
funny,21
whether,21
sort,21
wish,21
hello,21
kid,21
appreciate,21
emotional,21
play,21
world,21
completely,21
ninety,20
answer,20
description,20
eye,20
conversation,20
certain,20
although,20
without,20
self,20
rather,20
real,20
cognitive,20
across,19
job,19
issue,19
family,19
end,19
man,19
case,19
making,19
meet,19
yet,19
six,19
currently,19
wrong,19
list,18
matter,18
home,18
entj,18
male,18
ok,18
emotion,18
fifty,18
crazy,18
fit,18
wanted,18
site,18
away,17
open,17
knew,17
working,17
