,0
im,1101
like,917
think,684
dont,679
people,614
one,573
really,498
know,468
feel,438
ive,429
would,416
thing,411
infp,401
time,390
get,380
love,313
good,296
much,289
say,285
type,282
make,276
friend,275
well,272
way,267
want,263
something,256
lot,255
http,230
see,219
always,215
also,212
life,212
someone,211
even,202
hundred,201
go,197
year,188
though,184
right,181
actually,180
never,180
cant,179
thought,176
first,168
infps,168
could,166
person,165
youre,164
thats,162
two,157
feeling,156
sure,153
going,152
work,152
pretty,149
yes,147
id,142
got,141
need,141
look,140
find,139
take,138
sometimes,130
mean,130
day,129
guy,128
many,128
probably,128
come,126
post,124
said,122
kind,122
best,121
around,120
read,119
world,117
little,117
hard,114
maybe,114
thread,114
everyone,113
still,113
definitely,112
thanks,111
school,110
quite,110
thousand,110
back,109
bit,108
usually,104
different,103
bad,102
yeah,101
mind,100
lol,100
try,100
book,99
anything,99
didnt,99
long,97
point,97
help,97
since,97
idea,96
everything,96
believe,95
doesnt,92
ill,92
new,91
happy,91
guess,90
seems,90
thank,89
keep,89
often,88
anyone,87
sound,87
might,87
relationship,86
better,86
made,86
question,85
ever,85
talk,85
intp,84
hey,84
others,83
every,83
agree,83
may,83
four,82
thinking,82
part,81
reason,81
six,79
give,79
let,79
high,79
theyre,78
twenty,78
used,78
reading,77
problem,77
isnt,77
stuff,76
true,76
else,75
oh,75
personality,75
girl,75
understand,75
put,74
last,74
haha,73
great,73
enfp,73
tell,72
seem,71
self,71
word,70
nice,69
use,69
test,68
talking,68
welcome,67
especially,67
interesting,67
getting,67
experience,66
done,66
fi,66
fifty,66
intj,66
wrong,66
sorry,66
start,65
alone,65
another,65
five,64
function,64
rather,64
infj,64
place,63
three,63
hate,63
live,62
tend,62
parent,62
dream,62
trying,62
nothing,62
job,61
care,61
play,61
music,61
cool,61
writing,60
looking,60
enough,60
forum,59
making,59
away,59
told,59
situation,59
either,58
family,58
least,57
old,57
whole,57
game,57
found,57
however,57
close,56
real,56
sense,55
social,54
mbti,54
felt,54
almost,54
story,54
ago,53
isfp,53
exactly,53
fact,53
movie,52
seven,52
saying,51
answer,51
mostly,51
fun,51
wouldnt,51
big,51
wish,50
havent,50
emotion,50
issue,50
thirty,49
case,49
value,49
hello,49
weird,49
favorite,49
man,49
head,49
ask,49
shes,49
hope,49
able,49
eye,48
remember,48
character,48
fe,48
wanted,48
enjoy,48
video,48
far,48
today,47
already,47
certain,47
started,47
end,47
awesome,46
name,46
eight,46
arent,46
woman,45
nine,45
change,45
age,45
opinion,45
couple,45
general,45
class,45
relate,45
become,44
child,44
art,44
advice,44
write,44
similar,44
laughing,43
yet,43
sad,43
male,43
matter,43
completely,43
sixty,43
mine,43
past,43
face,43
female,43
seen,42
fit,42
song,42
working,42
left,41
generally,41
without,41
emotional,41
call,41
must,41
stop,40
moment,40
personally,40
etc,40
introvert,40
along,40
crazy,39
night,39
home,39
le,39
hi,39
share,39
show,39
whatever,39
human,38
sort,38
conversation,38
tired,38
perhaps,38
taking,38
came,38
second,38
enfj,38
week,38
ten,38
sleep,37
please,37
extremely,37
ne,37
youve,37
mom,37
light,36
xd,36
interested,36
beautiful,36
course,36
example,36
kid,36
happens,36
open,36
wonder,35
meet,35
honestly,35
tried,35
hand,35
istj,35
met,35
month,34
anyway,34
