,0
im,962
like,817
dont,708
people,616
think,604
one,561
would,461
know,432
time,397
thing,390
really,377
get,369
intp,338
ive,334
say,292
make,288
http,276
want,268
much,261
way,258
well,256
type,246
go,244
good,235
see,234
love,232
feel,232
something,227
friend,227
even,212
find,211
never,207
also,204
though,196
always,193
year,184
lot,183
thats,183
cant,181
someone,181
life,176
youre,173
hundred,170
yes,167
could,166
actually,163
intps,162
need,161
thought,160
right,159
sure,154
two,153
many,152
person,151
work,150
come,146
pretty,146
first,144
idea,142
going,139
still,137
best,134
day,133
probably,130
look,127
try,124
take,124
id,123
sometimes,123
ill,122
doesnt,121
back,119
mind,118
post,114
reason,113
school,113
read,113
feeling,113
problem,111
question,110
anything,110
thousand,109
quite,109
said,108
usually,108
thread,107
mean,106
understand,105
got,104
didnt,103
lol,103
talk,101
point,101
guy,101
around,100
thinking,99
better,97
since,94
may,94
maybe,94
last,93
sound,93
different,93
relationship,92
seems,91
personality,91
ever,91
kind,90
answer,89
word,89
bit,89
trying,88
used,87
world,87
every,87
social,85
help,85
great,85
intj,85
yeah,85
hate,85
interesting,85
oh,85
hard,85
experience,84
twenty,83
game,82
long,81
believe,81
use,81
enough,80
others,79
tell,79
sense,79
forum,79
little,78
bad,77
part,77
made,76
without,76
new,76
give,76
book,75
everything,75
woman,75
might,75
girl,74
talking,74
ask,73
change,73
seem,73
definitely,73
five,73
end,72
everyone,72
keep,72
six,72
getting,71
put,71
nothing,71
often,71
enjoy,71
fun,71
care,71
high,70
agree,70
place,68
guess,68
music,68
theyre,67
real,67
else,66
job,65
infp,65
three,63
fact,62
welcome,62
function,62
least,62
test,62
almost,62
wrong,62
tend,62
anyone,62
thirty,61
head,61
stuff,61
live,61
human,61
reading,60
especially,60
isnt,59
saying,59
another,59
thank,59
entp,59
start,58
however,58
using,58
either,57
mbti,57
wouldnt,57
show,57
emotion,57
istj,57
theory,57
able,56
nice,55
god,55
four,55
matter,55
situation,55
play,54
exactly,54
infj,54
etc,54
away,54
child,54
mostly,54
true,53
completely,53
free,52
conversation,52
happy,52
movie,52
opinion,52
course,52
looking,51
whole,51
funny,51
far,51
interest,51
haha,50
self,50
nine,49
done,49
big,49
found,49
topic,48
likely,48
fe,48
family,48
stop,48
watch,48
class,48
unless,47
become,47
whats,47
wanted,47
remember,47
interested,47
started,46
hour,46
language,46
week,46
although,46
old,45
perc,45
let,45
whatever,45
havent,45
man,45
depends,45
male,44
rather,44
stupid,44
important,44
esfj,44
le,44
yet,44
certain,44
explain,44
thanks,43
alone,43
ago,43
general,43
enfp,43
female,43
wont,43
ten,42
ti,42
personally,42
arent,42
eight,42
video,41
picture,41
small,41
possible,41
fifty,41
story,41
emotional,40
already,40
making,40
hope,40
case,40
whether,40
science,40
side,40
fi,40
ne,40
close,40
today,39
awesome,39
seen,39
ni,39
must,39
sent,39
seven,39
prefer,39
shit,39
fit,39
college,38
happens,38
song,38
istp,38
second,38
group,38
example,38
learn,38
crazy,37
weird,37
wasnt,37
full,37
write,37
night,36
youll,36
shes,36
house,36
act,36
sort,36
couldnt,36
happen,36
result,36
kid,35
similar,35
character,35
please,35
