,0
im,1157
like,841
dont,668
think,667
people,543
one,539
isfj,473
know,462
time,457
really,450
would,439
thing,435
get,413
feel,361
type,331
ive,318
love,311
friend,306
say,306
make,287
much,266
way,263
http,262
well,262
want,259
lot,247
see,222
life,216
good,213
something,211
hundred,208
also,206
two,202
go,202
even,201
though,195
pretty,193
always,193
need,192
sure,190
someone,183
could,179
find,169
come,160
never,160
isfjs,159
year,159
cant,159
actually,159
going,158
first,157
work,155
youre,150
thought,147
take,144
person,143
help,141
still,134
id,133
probably,131
thats,129
little,128
right,127
yes,126
definitely,125
maybe,125
sometimes,124
mean,124
others,123
feeling,122
many,120
relationship,120
day,120
sound,119
best,119
said,117
welcome,117
back,117
usually,116
doesnt,116
post,116
guy,115
read,115
hard,113
try,112
thread,110
kind,110
forum,108
school,107
yeah,107
fe,106
look,105
got,105
thousand,105
three,104
around,103
great,103
thanks,102
trying,101
happy,101
may,101
better,100
ill,100
might,97
si,96
different,95
question,95
didnt,95
long,95
tell,94
bit,93
infp,93
function,93
personality,92
seems,92
every,92
infj,92
istj,91
agree,91
talk,91
anything,90
thinking,90
understand,90
twenty,90
test,88
experience,88
everyone,87
made,87
new,87
mind,86
guess,86
intp,85
keep,84
often,84
bad,83
care,83
lol,83
tend,83
everything,81
relate,80
oh,80
problem,79
since,79
quite,78
ever,77
hate,77
mbti,77
interesting,77
thank,76
idea,76
last,76
high,75
world,75
fi,75
reason,75
especially,74
point,74
getting,74
isnt,74
talking,73
sorry,73
give,73
ne,72
big,72
family,72
isfp,70
girl,70
let,70
part,69
use,69
thirty,69
situation,68
sense,68
seem,68
reading,67
five,67
true,67
nice,67
used,67
six,66
wrong,66
past,65
put,65
esfj,65
istp,65
close,64
place,64
believe,63
either,63
intj,62
without,62
ask,62
fun,61
another,61
enjoy,60
remember,60
rather,60
far,60
least,60
music,60
word,60
away,59
completely,59
self,58
mom,58
today,57
else,57
almost,57
found,57
four,57
depends,57
ti,57
anyone,57
show,56
wouldnt,56
fact,55
nothing,54
nine,54
enough,54
book,54
havent,54
personally,53
exactly,53
wasnt,53
interested,53
however,53
alone,52
social,52
hello,52
please,52
likely,52
movie,52
hope,51
done,51
whole,51
month,51
haha,51
end,51
theyre,50
entp,50
old,50
week,49
went,49
description,49
game,49
answer,49
home,48
story,48
wish,48
making,47
cool,47
enfp,47
change,47
sort,47
fifty,47
stuff,47
saying,47
dad,47
opinion,46
head,46
similar,46
start,46
live,46
stop,46
forty,46
whats,45
real,45
side,45
able,45
wont,45
eight,45
boyfriend,44
looking,44
mine,44
seen,44
college,44
le,44
although,44
example,44
felt,44
took,43
wanted,43
working,43
using,43
sister,43
brother,43
super,43
estj,42
enfj,42
seventy,42
perc,42
interest,42
ten,42
favorite,42
advice,42
emotion,42
open,42
certain,42
met,41
recently,41
difficult,41
play,41
class,41
along,40
spend,40
job,40
consider,40
esfp,40
shes,40
character,40
quiet,39
crazy,39
honestly,39
dream,38
song,38
information,38
kid,38
based,38
face,38
order,37
told,37
become,37
absolutely,37
okay,37
etc,37
dear,37
sixty,37
arent,36
attention,36
friendship,36
taking,36
introvert,36
moment,36
fit,36
inferior,36
night,36
course,36
hey,36
watch,36
mostly,36
weird,35
husband,35
result,35
extremely,35
general,35
video,35
sensor,35
together,35
listen,35
hurt,35
couple,34
hi,34
act,34
entj,34
hour,34
name,34
funny,34
possible,34
serious,34
heart,34
dom,34
group,34
honest,34
kinda,34
sad,33
hear,33
eye,33
watching,33
worry,33
ni,33
wow,33
seven,33
enneagram,33
man,33
conversation,32
hand,32
ago,32
se,32
small,32
personal,32
glad,32
topic,32
easy,32
sleep,32
write,31
unless,31
important,31
issue,31
ninety,31
awesome,31
currently,31
sent,31
parent,31
comment,31
mother,31
memory,31
perhaps,31
beautiful,31
yet,31
male,31
case,31
started,30
smile,30
child,30
xd,30
posted,30
whether,30
next,30
wondering,30
house,30
loved,30
fear,30
state,29
tongue,29
iphone,29
money,29
view,29
totally,29
ok,29
quality,29
online,29
emotional,28
sensitive,28
eighty,28
learning,28
proud,28
coming,28
learn,28
hmm,28
saw,28
hair,28
trait,28
age,28
figure,28
stay,28
te,28
hug,28
cry,28
across,27
curious,27
easily,27
young,27
matter,27
infjs,27
whatever,27
fine,27
amazing,27
user,26
seeing,26
stand,26
animal,26
generally,26
woman,26
already,26
math,26
awkward,26
term,26
common,26
partner,26
quote,26
short,26
within,26
seriously,26
action,26
must,26
introverted,26
list,25
picture,25
call,25
hold,25
god,25
except,25
noticed,25
cause,25
youve,25
pain,25
fall,25
choice,25
writing,25
playing,25
wonder,25
given,25
realize,24
angry,24
trust,24
wink,24
share,24
tapatalk,24
gift,24
liked,24
rant,24
asking,24
physical,24
towards,24
particular,24
meet,24
extrovert,24
second,24
difference,24
shy,24
prefer,24
female,24
degree,24
couldnt,24
room,24
comfortable,23
subject,23
typing,23
certainly,23
negative,23
step,23
perfect,23
confused,23
grade,23
na,23
speak,23
deal,23
half,23
anyway,23
came,23
somewhere,23
known,23
level,23
annoying,22
estp,22
spent,22
exact,22
lost,22
left,22
reply,22
instead,22
straight,22
film,22
cold,22
check,22
main,22
detail,22
infps,22
appreciate,22
outside,22
break,22
romantic,22
explain,22
free,22
heard,22
sweet,22
upset,22
internet,21
anymore,21
happen,21
unhealthy,21
struggle,21
notice,21
english,21
intjs,21
plan,21
odd,21
called,21
understanding,21
due,21
laugh,21
posting,21
later,21
pick,21
wear,21
conflict,21
process,21
suppose,21
behavior,21
decided,20
meant,20
