Word,tf_idf
digger,3.51748e-05
mae,1.97232e-05
llama,1.31488e-05
earring,1.21321e-05
unconsciously,1.09189e-05
tremendous,1.05524e-05
causality,9.8616e-06
och,9.7057e-06
stepping,9.7057e-06
sufficient,9.7057e-06
valuation,9.7057e-06
posh,9.5154e-06
discretion,8.7937e-06
euthanasia,8.7937e-06
intermittent,8.7937e-06
clubhouse,7.5197e-06
adherence,7.2792e-06
blinking,7.2792e-06
brilliance,7.2792e-06
collapse,7.2792e-06
fandom,7.2792e-06
fasting,7.2792e-06
forecast,7.2792e-06
frantically,7.2792e-06
gearing,7.2792e-06
hilly,7.2792e-06
jackdaw,7.2792e-06
jumper,7.2792e-06
niffer,7.2792e-06
pharmacy,7.2792e-06
prescriptive,7.2792e-06
raccoon,7.2792e-06
ridicule,7.2792e-06
scaled,7.2792e-06
securely,7.2792e-06
shatter,7.2792e-06
skeeter,7.2792e-06
unsatisfied,7.2792e-06
vestigial,7.2792e-06
weathered,7.2792e-06
cardigan,7.035e-06
collaboration,7.035e-06
exceedingly,7.035e-06
incest,7.035e-06
inventive,7.035e-06
lifeless,7.035e-06
penchant,7.035e-06
profusely,7.035e-06
quota,7.035e-06
agnosticism,6.5744e-06
carnival,6.5744e-06
chester,6.5744e-06
clack,6.5744e-06
dyer,6.5744e-06
fennel,6.5744e-06
flooded,6.5744e-06
hypomanic,6.5744e-06
indeedy,6.5744e-06
kohl,6.5744e-06
mayor,6.5744e-06
pantheist,6.5744e-06
pedant,6.5744e-06
reckoning,6.5744e-06
redback,6.5744e-06
reticent,6.5744e-06
ringing,6.5744e-06
septum,6.5744e-06
smoochy,6.5744e-06
snooper,6.5744e-06
truthiness,6.5744e-06
unkind,6.5744e-06
waved,6.5744e-06
aristocratic,6.066e-06
comprehensive,6.066e-06
fuel,6.066e-06
jar,6.066e-06
longing,6.066e-06
pertaining,6.066e-06
rainy,6.066e-06
shovel,6.066e-06
simplistic,6.066e-06
sphere,6.066e-06
thrice,6.066e-06
trophy,6.066e-06
wounded,6.066e-06
yin,6.066e-06
badger,5.2762e-06
bankrupt,5.2762e-06
bred,5.2762e-06
chakra,5.2762e-06
chap,5.2762e-06
climax,5.2762e-06
compost,5.2762e-06
crank,5.2762e-06
disengage,5.2762e-06
estrogen,5.2762e-06
extraction,5.2762e-06
flush,5.2762e-06
fray,5.2762e-06
godfather,5.2762e-06
hump,5.2762e-06
incoming,5.2762e-06
lotus,5.2762e-06
methane,5.2762e-06
pendulum,5.2762e-06
pew,5.2762e-06
proofreading,5.2762e-06
reunion,5.2762e-06
reviving,5.2762e-06
savvy,5.2762e-06
sensed,5.2762e-06
sleek,5.2762e-06
slump,5.2762e-06
spanking,5.2762e-06
spastic,5.2762e-06
squat,5.2762e-06
succumb,5.2762e-06
tourette,5.2762e-06
transaction,5.2762e-06
underwood,5.2762e-06
uphill,5.2762e-06
whoo,5.2762e-06
accusation,4.8528e-06
