Word,tf_idf
thyself,1.37071e-05
govern,1.32471e-05
flute,1.09657e-05
migraine,1.09657e-05
misogyny,1.09657e-05
historical,1.00519e-05
healer,9.273e-06
spoilt,9.1381e-06
commonality,7.9483e-06
electron,7.9483e-06
vaccine,7.9483e-06
disapprove,7.4279e-06
outlander,7.4279e-06
concession,7.3105e-06
copper,7.3105e-06
empiricism,7.3105e-06
fuel,7.3105e-06
mutch,7.3105e-06
phi,7.3105e-06
somerset,7.3105e-06
toed,7.3105e-06
valuation,7.3105e-06
algorithm,6.6236e-06
arc,6.6236e-06
chemist,6.6236e-06
deity,6.6236e-06
extinct,6.6236e-06
fiesta,6.6236e-06
guitarist,6.6236e-06
supremacy,6.6236e-06
attic,6.3967e-06
fandom,6.3967e-06
fuss,6.3967e-06
quadra,6.3967e-06
nexus,5.6639e-06
allot,5.4829e-06
attainable,5.4829e-06
bassoon,5.4829e-06
beetle,5.4829e-06
budding,5.4829e-06
determinism,5.4829e-06
disappearing,5.4829e-06
epileptic,5.4829e-06
fawning,5.4829e-06
fiddle,5.4829e-06
hearth,5.4829e-06
import,5.4829e-06
ketchup,5.4829e-06
longing,5.4829e-06
manuscript,5.4829e-06
mousetrap,5.4829e-06
naivete,5.4829e-06
nocturnal,5.4829e-06
oncoming,5.4829e-06
painless,5.4829e-06
proudly,5.4829e-06
psalm,5.4829e-06
receiver,5.4829e-06
sory,5.4829e-06
sparring,5.4829e-06
sphere,5.4829e-06
stepping,5.4829e-06
taj,5.4829e-06
baffle,5.2988e-06
bowing,5.2988e-06
conscientiousness,5.2988e-06
deformed,5.2988e-06
dysfunction,5.2988e-06
hunchback,5.2988e-06
infected,5.2988e-06
murderer,5.2988e-06
outbreak,5.2988e-06
preserve,5.2988e-06
resurrection,5.2988e-06
snippet,5.2988e-06
strife,5.2988e-06
whet,5.2988e-06
griffin,5.0976e-06
bromide,4.9519e-06
cesium,4.9519e-06
collagen,4.9519e-06
concisely,4.9519e-06
cyst,4.9519e-06
drumline,4.9519e-06
exalted,4.9519e-06
faller,4.9519e-06
fledgling,4.9519e-06
handiness,4.9519e-06
hinge,4.9519e-06
hup,4.9519e-06
initiator,4.9519e-06
instantaneous,4.9519e-06
kukri,4.9519e-06
malaria,4.9519e-06
overzealous,4.9519e-06
rustle,4.9519e-06
scarab,4.9519e-06
stuffy,4.9519e-06
treacherous,4.9519e-06
triplet,4.9519e-06
uninitiated,4.9519e-06
vapid,4.9519e-06
velveteen,4.9519e-06
vexation,4.9519e-06
wobble,4.9519e-06
belive,4.569e-06
catnip,4.569e-06
comprehensive,4.569e-06
harass,4.569e-06
inception,4.569e-06
jar,4.569e-06
misogynist,4.569e-06
neuron,4.569e-06
physique,4.569e-06
reese,4.569e-06
shamelessly,4.569e-06
simplistic,4.569e-06
unintelligent,4.569e-06
saxophone,4.5312e-06
contract,3.9818e-06
animalistic,3.9741e-06
blissful,3.9741e-06
chipper,3.9741e-06
compound,3.9741e-06
cynic,3.9741e-06
den,3.9741e-06
descent,3.9741e-06
devastating,3.9741e-06
disadvantage,3.9741e-06
dizzy,3.9741e-06
dynamically,3.9741e-06
enraged,3.9741e-06
existentialist,3.9741e-06
fascinatingly,3.9741e-06
genocide,3.9741e-06
glimpse,3.9741e-06
growl,3.9741e-06
herald,3.9741e-06
herring,3.9741e-06
holographic,3.9741e-06
humankind,3.9741e-06
hypergamy,3.9741e-06
indulgence,3.9741e-06
inhuman,3.9741e-06
intelligently,3.9741e-06
intolerable,3.9741e-06
irksome,3.9741e-06
lair,3.9741e-06
lest,3.9741e-06
litter,3.9741e-06
onset,3.9741e-06
operative,3.9741e-06
orchestral,3.9741e-06
overcrowded,3.9741e-06
ovum,3.9741e-06
procreate,3.9741e-06
prophetic,3.9741e-06
quintet,3.9741e-06
randy,3.9741e-06
render,3.9741e-06
rift,3.9741e-06
rumple,3.9741e-06
sag,3.9741e-06
semblance,3.9741e-06
susceptible,3.9741e-06
therefor,3.9741e-06
thirsty,3.9741e-06
tide,3.9741e-06
unappealing,3.9741e-06
undiagnosed,3.9741e-06
uselessness,3.9741e-06
vineyard,3.9741e-06
yap,3.9741e-06
coz,3.9648e-06
animation,3.7163e-06
aba,3.6552e-06
adherence,3.6552e-06
aluminium,3.6552e-06
amusingly,3.6552e-06
applaud,3.6552e-06
argentum,3.6552e-06
arranger,3.6552e-06
aspen,3.6552e-06
asteroid,3.6552e-06
atheism,3.6552e-06
bam,3.6552e-06
baseless,3.6552e-06
bizarrely,3.6552e-06
blanketed,3.6552e-06
bode,3.6552e-06
boundless,3.6552e-06
bunk,3.6552e-06
bunker,3.6552e-06
carnation,3.6552e-06
carpentry,3.6552e-06
casino,3.6552e-06
chapin,3.6552e-06
chirpy,3.6552e-06
collapse,3.6552e-06
countenance,3.6552e-06
courtship,3.6552e-06
curdle,3.6552e-06
curricular,3.6552e-06
dame,3.6552e-06
daybreak,3.6552e-06
daytime,3.6552e-06
decrease,3.6552e-06
deficiency,3.6552e-06
denomination,3.6552e-06
detergent,3.6552e-06
dev,3.6552e-06
divert,3.6552e-06
dos,3.6552e-06
doted,3.6552e-06
ember,3.6552e-06
evade,3.6552e-06
exemplify,3.6552e-06
extraneous,3.6552e-06
fare,3.6552e-06
feared,3.6552e-06
fiend,3.6552e-06
fishery,3.6552e-06
fret,3.6552e-06
frightening,3.6552e-06
frosted,3.6552e-06
froze,3.6552e-06
furthest,3.6552e-06
giddy,3.6552e-06
gnawing,3.6552e-06
gob,3.6552e-06
goes,3.6552e-06
heartlessly,3.6552e-06
helplessly,3.6552e-06
hissing,3.6552e-06
hunk,3.6552e-06
hydrated,3.6552e-06
implausible,3.6552e-06
individualism,3.6552e-06
inevitability,3.6552e-06
infallible,3.6552e-06
intently,3.6552e-06
interwoven,3.6552e-06
intrinsically,3.6552e-06
irreligion,3.6552e-06
lava,3.6552e-06
legalism,3.6552e-06
madman,3.6552e-06
magnificently,3.6552e-06
mali,3.6552e-06
mandarin,3.6552e-06
mat,3.6552e-06
menstruation,3.6552e-06
module,3.6552e-06
molten,3.6552e-06
moo,3.6552e-06
multiplying,3.6552e-06
nip,3.6552e-06
nook,3.6552e-06
notch,3.6552e-06
oily,3.6552e-06
ontology,3.6552e-06
organism,3.6552e-06
overconfident,3.6552e-06
oxidant,3.6552e-06
panspermia,3.6552e-06
participant,3.6552e-06
payer,3.6552e-06
pedestal,3.6552e-06
permissive,3.6552e-06
plank,3.6552e-06
