Word,tf_idf
thyself,1.71129e-05
misogyny,1.28347e-05
govern,1.08535e-05
fandom,1.06956e-05
historical,1.06956e-05
jar,9.626e-06
valuation,9.626e-06
vaccine,9.303e-06
posh,8.6994e-06
comprehensive,8.5565e-06
concession,8.5565e-06
copper,8.5565e-06
somerset,8.5565e-06
stepping,8.5565e-06
commonality,7.7525e-06
collapse,7.4869e-06
fuss,7.4869e-06
sufficient,7.4869e-06
yin,7.4869e-06
beetle,6.4173e-06
blinking,6.4173e-06
budding,6.4173e-06
frightening,6.4173e-06
hearth,6.4173e-06
jackdaw,6.4173e-06
migraine,6.4173e-06
mousetrap,6.4173e-06
niffer,6.4173e-06
pertaining,6.4173e-06
pharmacy,6.4173e-06
recollection,6.4173e-06
sory,6.4173e-06
tranquil,6.4173e-06
weathered,6.4173e-06
baffle,6.202e-06
conscientiousness,6.202e-06
dysfunction,6.202e-06
electron,6.202e-06
outbreak,6.202e-06
resurrection,6.202e-06
tremendous,6.202e-06
whet,6.202e-06
alligator,5.3478e-06
allot,5.3478e-06
baseless,5.3478e-06
disappearing,5.3478e-06
flute,5.3478e-06
fuel,5.3478e-06
holden,5.3478e-06
hypothesize,5.3478e-06
ketchup,5.3478e-06
marvelous,5.3478e-06
misogynist,5.3478e-06
neuron,5.3478e-06
shiver,5.3478e-06
thrice,5.3478e-06
unconsciously,5.3478e-06
unreliable,5.3478e-06
voluntarily,5.3478e-06
wounded,5.3478e-06
clubhouse,5.3034e-06
arc,4.6515e-06
arch,4.6515e-06
chakra,4.6515e-06
chap,4.6515e-06
deity,4.6515e-06
devastating,4.6515e-06
discretion,4.6515e-06
dynamically,4.6515e-06
estrogen,4.6515e-06
extraction,4.6515e-06
healer,4.6515e-06
herring,4.6515e-06
hunchback,4.6515e-06
intolerable,4.6515e-06
lighthouse,4.6515e-06
murderer,4.6515e-06
onset,4.6515e-06
operative,4.6515e-06
penchant,4.6515e-06
poignant,4.6515e-06
poof,4.6515e-06
rift,4.6515e-06
sag,4.6515e-06
sleek,4.6515e-06
snippet,4.6515e-06
strife,4.6515e-06
succumb,4.6515e-06
thirsty,4.6515e-06
tide,4.6515e-06
tourette,4.6515e-06
underwood,4.6515e-06
aba,4.2782e-06
alleviate,4.2782e-06
alternatively,4.2782e-06
attainable,4.2782e-06
bankruptcy,4.2782e-06
beefy,4.2782e-06
belive,4.2782e-06
bizarrely,4.2782e-06
brilliance,4.2782e-06
bunk,4.2782e-06
celiac,4.2782e-06
cleverly,4.2782e-06
consumption,4.2782e-06
contingency,4.2782e-06
crease,4.2782e-06
curdle,4.2782e-06
deathly,4.2782e-06
detergent,4.2782e-06
domineering,4.2782e-06
ember,4.2782e-06
experimental,4.2782e-06
fare,4.2782e-06
flawless,4.2782e-06
fluently,4.2782e-06
frosted,4.2782e-06
gnawing,4.2782e-06
gob,4.2782e-06
guru,4.2782e-06
helplessly,4.2782e-06
herself,4.2782e-06
hissing,4.2782e-06
hostess,4.2782e-06
instability,4.2782e-06
interwoven,4.2782e-06
khan,4.2782e-06
magnificently,4.2782e-06
mali,4.2782e-06
maliciously,4.2782e-06
moderation,4.2782e-06
nip,4.2782e-06
oily,4.2782e-06
ontology,4.2782e-06
outreach,4.2782e-06
painless,4.2782e-06
pants,4.2782e-06
pathological,4.2782e-06
percentile,4.2782e-06
plank,4.2782e-06
plying,4.2782e-06
prophecy,4.2782e-06
proudly,4.2782e-06
psalm,4.2782e-06
quinoa,4.2782e-06
radiant,4.2782e-06
receiver,4.2782e-06
recite,4.2782e-06
retain,4.2782e-06
roomie,4.2782e-06
satyr,4.2782e-06
savanna,4.2782e-06
scythe,4.2782e-06
shamelessly,4.2782e-06
sherry,4.2782e-06
sighing,4.2782e-06
silvern,4.2782e-06
simplistic,4.2782e-06
splashed,4.2782e-06
squeamish,4.2782e-06
stimulate,4.2782e-06
stunning,4.2782e-06
sweetish,4.2782e-06
synesthesia,4.2782e-06
tarot,4.2782e-06
tattered,4.2782e-06
tenant,4.2782e-06
theologian,4.2782e-06
transformative,4.2782e-06
unbearable,4.2782e-06
undervalue,4.2782e-06
uneasiness,4.2782e-06
unsatisfied,4.2782e-06
unyielding,4.2782e-06
vinegar,4.2782e-06
wallpaper,4.2782e-06
wedge,4.2782e-06
weighted,4.2782e-06
wellington,4.2782e-06
wellness,4.2782e-06
wickedness,4.2782e-06
woven,4.2782e-06
ye,4.2782e-06
yobi,4.2782e-06
saxophone,3.9776e-06
hopedear,3.9675e-06
seeingcatch,3.9675e-06
understandlove,3.9675e-06
locus,3.3147e-06
accusation,3.2087e-06
adherence,3.2087e-06
amoral,3.2087e-06
astrophysics,3.2087e-06
bacteria,3.2087e-06
bagel,3.2087e-06
bigotry,3.2087e-06
bourbon,3.2087e-06
camus,3.2087e-06
column,3.2087e-06
competitor,3.2087e-06
converted,3.2087e-06
cornered,3.2087e-06
crumb,3.2087e-06
decrease,3.2087e-06
dependability,3.2087e-06
dill,3.2087e-06
