Word,tf_idf
mae,1.47697e-05
thyself,1.45362e-05
valuation,1.45362e-05
historical,1.36277e-05
govern,1.31703e-05
stepping,1.27192e-05
fandom,1.18107e-05
flute,1.18107e-05
fuel,1.18107e-05
migraine,1.09021e-05
misogyny,1.09021e-05
sufficient,1.09021e-05
longing,9.9936e-06
sphere,9.9936e-06
llama,9.8465e-06
healer,9.2192e-06
adherence,9.0851e-06
collapse,9.0851e-06
comprehensive,9.0851e-06
earring,9.0851e-06
fuss,9.0851e-06
jar,9.0851e-06
simplistic,9.0851e-06
spoilt,9.0851e-06
unconsciously,9.0851e-06
belive,8.1766e-06
ridicule,8.1766e-06
wounded,8.1766e-06
commonality,7.9022e-06
electron,7.9022e-06
guitarist,7.9022e-06
lifeless,7.9022e-06
tremendous,7.9022e-06
vaccine,7.9022e-06
causality,7.3849e-06
disapprove,7.3849e-06
outlander,7.3849e-06
concession,7.2681e-06
copper,7.2681e-06
disappearing,7.2681e-06
empiricism,7.2681e-06
inception,7.2681e-06
ketchup,7.2681e-06
mutch,7.2681e-06
och,7.2681e-06
phi,7.2681e-06
quadra,7.2681e-06
somerset,7.2681e-06
yin,7.2681e-06
algorithm,6.5852e-06
arc,6.5852e-06
chemist,6.5852e-06
deity,6.5852e-06
discretion,6.5852e-06
euthanasia,6.5852e-06
exceedingly,6.5852e-06
extinct,6.5852e-06
intermittent,6.5852e-06
quota,6.5852e-06
strife,6.5852e-06
supremacy,6.5852e-06
accusation,6.3596e-06
brilliance,6.3596e-06
determinism,6.3596e-06
domineering,6.3596e-06
frightening,6.3596e-06
neuron,6.3596e-06
pertaining,6.3596e-06
shiver,6.3596e-06
synergy,6.3596e-06
tranquil,6.3596e-06
unreliable,6.3596e-06
voluntarily,6.3596e-06
ye,6.3596e-06
alleviate,5.4511e-06
alligator,5.4511e-06
alternatively,5.4511e-06
attainable,5.4511e-06
attic,5.4511e-06
bam,5.4511e-06
baseless,5.4511e-06
bassoon,5.4511e-06
beetle,5.4511e-06
blinking,5.4511e-06
budding,5.4511e-06
bunk,5.4511e-06
deathly,5.4511e-06
decrease,5.4511e-06
epileptic,5.4511e-06
experimental,5.4511e-06
experimented,5.4511e-06
fasting,5.4511e-06
fawning,5.4511e-06
fiddle,5.4511e-06
forecast,5.4511e-06
frantically,5.4511e-06
gearing,5.4511e-06
giddy,5.4511e-06
goes,5.4511e-06
guru,5.4511e-06
harass,5.4511e-06
hearth,5.4511e-06
hilly,5.4511e-06
holden,5.4511e-06
import,5.4511e-06
jackdaw,5.4511e-06
jumper,5.4511e-06
manuscript,5.4511e-06
metric,5.4511e-06
misogynist,5.4511e-06
mousetrap,5.4511e-06
naivete,5.4511e-06
niffer,5.4511e-06
nocturnal,5.4511e-06
oncoming,5.4511e-06
organism,5.4511e-06
painless,5.4511e-06
participant,5.4511e-06
percentile,5.4511e-06
pharmacy,5.4511e-06
plush,5.4511e-06
prescriptive,5.4511e-06
probe,5.4511e-06
proudly,5.4511e-06
psalm,5.4511e-06
raccoon,5.4511e-06
rainy,5.4511e-06
receiver,5.4511e-06
recollection,5.4511e-06
restricted,5.4511e-06
roasting,5.4511e-06
scaled,5.4511e-06
securely,5.4511e-06
shamelessly,5.4511e-06
shatter,5.4511e-06
skeeter,5.4511e-06
sory,5.4511e-06
souled,5.4511e-06
stimulate,5.4511e-06
stunt,5.4511e-06
taj,5.4511e-06
tarot,5.4511e-06
thrice,5.4511e-06
trophy,5.4511e-06
unbearable,5.4511e-06
unintelligent,5.4511e-06
unsatisfied,5.4511e-06
vestigial,5.4511e-06
weathered,5.4511e-06
baffle,5.2681e-06
blissful,5.2681e-06
bowing,5.2681e-06
cardigan,5.2681e-06
chap,5.2681e-06
climax,5.2681e-06
collaboration,5.2681e-06
conscientiousness,5.2681e-06
cynic,5.2681e-06
deformed,5.2681e-06
den,5.2681e-06
dysfunction,5.2681e-06
enraged,5.2681e-06
errand,5.2681e-06
existentialist,5.2681e-06
flush,5.2681e-06
holographic,5.2681e-06
hunchback,5.2681e-06
incest,5.2681e-06
infected,5.2681e-06
inventive,5.2681e-06
lotus,5.2681e-06
murderer,5.2681e-06
outbreak,5.2681e-06
penchant,5.2681e-06
preserve,5.2681e-06
procreate,5.2681e-06
profusely,5.2681e-06
render,5.2681e-06
resurrection,5.2681e-06
reunion,5.2681e-06
rift,5.2681e-06
snippet,5.2681e-06
strap,5.2681e-06
whet,5.2681e-06
agnosticism,4.9232e-06
bromide,4.9232e-06
carnival,4.9232e-06
cesium,4.9232e-06
chester,4.9232e-06
clack,4.9232e-06
collagen,4.9232e-06
concisely,4.9232e-06
cyst,4.9232e-06
drumline,4.9232e-06
dyer,4.9232e-06
exalted,4.9232e-06
faller,4.9232e-06
fennel,4.9232e-06
fledgling,4.9232e-06
flooded,4.9232e-06
handiness,4.9232e-06
hinge,4.9232e-06
hup,4.9232e-06
hypomanic,4.9232e-06
indeedy,4.9232e-06
initiator,4.9232e-06
instantaneous,4.9232e-06
kohl,4.9232e-06
kukri,4.9232e-06
malaria,4.9232e-06
mayor,4.9232e-06
overzealous,4.9232e-06
pantheist,4.9232e-06
pedant,4.9232e-06
reckoning,4.9232e-06
redback,4.9232e-06
reticent,4.9232e-06
ringing,4.9232e-06
rustle,4.9232e-06
scarab,4.9232e-06
septum,4.9232e-06
smoochy,4.9232e-06
snooper,4.9232e-06
stuffy,4.9232e-06
treacherous,4.9232e-06
triplet,4.9232e-06
truthiness,4.9232e-06
uninitiated,4.9232e-06
unkind,4.9232e-06
vapid,4.9232e-06
velveteen,4.9232e-06
vexation,4.9232e-06
waved,4.9232e-06
wobble,4.9232e-06
atheism,4.5426e-06
bigotry,4.5426e-06
brink,4.5426e-06
composed,4.5426e-06
converted,4.5426e-06
correcting,4.5426e-06
daytime,4.5426e-06
deduce,4.5426e-06
disingenuous,4.5426e-06
dos,4.5426e-06
feared,4.5426e-06
flatter,4.5426e-06
flourish,4.5426e-06
glaring,4.5426e-06
herself,4.5426e-06
hypothesize,4.5426e-06
inane,4.5426e-06
incidentally,4.5426e-06
infinity,4.5426e-06
instability,4.5426e-06
interference,4.5426e-06
ladies,4.5426e-06
mandarin,4.5426e-06
marvelous,4.5426e-06
moderation,4.5426e-06
notch,4.5426e-06
octopus,4.5426e-06
opener,4.5426e-06
orderliness,4.5426e-06
pants,4.5426e-06
pathological,4.5426e-06
pedestal,4.5426e-06
pierced,4.5426e-06
pressing,4.5426e-06
prostitute,4.5426e-06
removal,4.5426e-06
sequence,4.5426e-06
someplace,4.5426e-06
starry,4.5426e-06
stunning,4.5426e-06
surrender,4.5426e-06
tot,4.5426e-06
toxicity,4.5426e-06
unworthy,4.5426e-06
unyielding,4.5426e-06
uphold,4.5426e-06
usefulness,4.5426e-06
vigorously,4.5426e-06
vitality,4.5426e-06
amidst,3.9511e-06
animalistic,3.9511e-06
arch,3.9511e-06
badger,3.9511e-06
bankrupt,3.9511e-06
blending,3.9511e-06
blob,3.9511e-06
bred,3.9511e-06
bulletproof,3.9511e-06
centrist,3.9511e-06
chakra,3.9511e-06
chop,3.9511e-06
compost,3.9511e-06
compound,3.9511e-06
cradle,3.9511e-06
cramp,3.9511e-06
crank,3.9511e-06
descent,3.9511e-06
devastating,3.9511e-06
deviation,3.9511e-06
disadvantage,3.9511e-06
disengage,3.9511e-06
dizzy,3.9511e-06
dynamically,3.9511e-06
earphone,3.9511e-06
estrogen,3.9511e-06
exhibitionist,3.9511e-06
extending,3.9511e-06
extraction,3.9511e-06
fascinatingly,3.9511e-06
feasibly,3.9511e-06
feces,3.9511e-06
forbidden,3.9511e-06
fray,3.9511e-06
genocide,3.9511e-06
gigantic,3.9511e-06
glimpse,3.9511e-06
godfather,3.9511e-06
growl,3.9511e-06
hash,3.9511e-06
herald,3.9511e-06
herring,3.9511e-06
hourglass,3.9511e-06
humankind,3.9511e-06
hump,3.9511e-06
immense,3.9511e-06
incoming,3.9511e-06
indulgence,3.9511e-06
infrequently,3.9511e-06
inhuman,3.9511e-06
intelligently,3.9511e-06
intolerable,3.9511e-06
irksome,3.9511e-06
kangaroo,3.9511e-06
lair,3.9511e-06
lest,3.9511e-06
lighthouse,3.9511e-06
litter,3.9511e-06
mage,3.9511e-06
methane,3.9511e-06
mysteriousness,3.9511e-06
nibble,3.9511e-06
nymphomaniac,3.9511e-06
onset,3.9511e-06
operative,3.9511e-06
orchestral,3.9511e-06
outweigh,3.9511e-06
overcrowded,3.9511e-06
ovum,3.9511e-06
paramount,3.9511e-06
peek,3.9511e-06
pendulum,3.9511e-06
physicality,3.9511e-06
plagued,3.9511e-06
plaid,3.9511e-06
poignant,3.9511e-06
poof,3.9511e-06
presumptuous,3.9511e-06
proofreading,3.9511e-06
prophetic,3.9511e-06
quintet,3.9511e-06
randy,3.9511e-06
recruit,3.9511e-06
reviving,3.9511e-06
rigidity,3.9511e-06
sag,3.9511e-06
savvy,3.9511e-06
scripture,3.9511e-06
semblance,3.9511e-06
sensed,3.9511e-06
sleek,3.9511e-06
slump,3.9511e-06
spanking,3.9511e-06
spastic,3.9511e-06
squat,3.9511e-06
subcategory,3.9511e-06
succumb,3.9511e-06
suitor,3.9511e-06
superstition,3.9511e-06
susceptible,3.9511e-06
therefor,3.9511e-06
thirdly,3.9511e-06
thirsty,3.9511e-06
tide,3.9511e-06
tourette,3.9511e-06
