Word,tf_idf
digger,3.54492e-05
posh,1.03e-05
toed,9.7814e-06
fiesta,8.8623e-06
clubhouse,7.5783e-06
nexus,7.5783e-06
allot,7.336e-06
sparring,7.336e-06
aristocratic,6.1134e-06
auburn,6.1134e-06
catnip,6.1134e-06
physique,6.1134e-06
reese,6.1134e-06
shovel,6.1134e-06
griffin,6.0627e-06
chipper,5.3174e-06
hypergamy,5.3174e-06
pew,5.3174e-06
rumple,5.3174e-06
yap,5.3174e-06
carpentry,4.8907e-06
casino,4.8907e-06
detergent,4.8907e-06
fishery,4.8907e-06
hack,4.8907e-06
mali,4.8907e-06
nosed,4.8907e-06
permissive,4.8907e-06
raindrop,4.8907e-06
sweetish,4.8907e-06
vol,4.8907e-06
wellington,4.8907e-06
contract,4.2621e-06
bolt,3.9069e-06
icon,3.9069e-06
gluttony,3.7892e-06
lobster,3.7892e-06
locus,3.7892e-06
mutation,3.7892e-06
ski,3.7892e-06
trading,3.7892e-06
undertaker,3.7892e-06
abnormality,3.668e-06
anorexia,3.668e-06
apprenticeship,3.668e-06
aviation,3.668e-06
breadth,3.668e-06
burnout,3.668e-06
cartoonist,3.668e-06
euphonium,3.668e-06
fiddling,3.668e-06
gin,3.668e-06
hijack,3.668e-06
hunk,3.668e-06
lid,3.668e-06
marguerite,3.668e-06
namesake,3.668e-06
quilting,3.668e-06
redding,3.668e-06
soprano,3.668e-06
tortoise,3.668e-06
voltage,3.668e-06
yer,3.668e-06
baloney,3.5449e-06
benny,3.5449e-06
bozo,3.5449e-06
concealer,3.5449e-06
descendant,3.5449e-06
doorframe,3.5449e-06
doze,3.5449e-06
evangelical,3.5449e-06
flyleaf,3.5449e-06
formerly,3.5449e-06
fumble,3.5449e-06
geisha,3.5449e-06
grease,3.5449e-06
ladybug,3.5449e-06
marco,3.5449e-06
matchbox,3.5449e-06
metalwork,3.5449e-06
ngaio,3.5449e-06
passer,3.5449e-06
patter,3.5449e-06
perplexing,3.5449e-06
recruitment,3.5449e-06
relive,3.5449e-06
romper,3.5449e-06
sally,3.5449e-06
satine,3.5449e-06
settlement,3.5449e-06
skillfully,3.5449e-06
slit,3.5449e-06
softy,3.5449e-06
syntactical,3.5449e-06
visto,3.5449e-06
wormwood,3.5449e-06
worthlessness,3.5449e-06
animation,3.1966e-06
bicycle,3.1966e-06
evanescence,3.1966e-06
indigo,3.1966e-06
motor,3.1966e-06
penalty,3.1966e-06
