Word,tf_idf
govern,1.32469e-05
historical,1.21839e-05
fandom,1.01533e-05
comprehensive,9.1379e-06
stepping,9.1379e-06
electron,8.8313e-06
vaccine,8.8313e-06
posh,8.2583e-06
empiricism,8.1226e-06
fuel,8.1226e-06
mutch,8.1226e-06
och,8.1226e-06
phi,8.1226e-06
simplistic,8.1226e-06
sufficient,8.1226e-06
algorithm,7.3594e-06
deity,7.3594e-06
euthanasia,7.3594e-06
exceedingly,7.3594e-06
belive,7.1073e-06
collapse,7.1073e-06
determinism,7.1073e-06
synergy,7.1073e-06
unconsciously,7.1073e-06
valuation,7.1073e-06
nexus,6.2932e-06
bassoon,6.092e-06
fiddle,6.092e-06
flute,6.092e-06
hilly,6.092e-06
inception,6.092e-06
nocturnal,6.092e-06
oncoming,6.092e-06
prescriptive,6.092e-06
probe,6.092e-06
raccoon,6.092e-06
securely,6.092e-06
skeeter,6.092e-06
taj,6.092e-06
vestigial,6.092e-06
yin,6.092e-06
deformed,5.8875e-06
extinct,5.8875e-06
outbreak,5.8875e-06
resurrection,5.8875e-06
strap,5.8875e-06
supremacy,5.8875e-06
tremendous,5.8875e-06
whet,5.8875e-06
aristocratic,5.0766e-06
bigotry,5.0766e-06
brilliance,5.0766e-06
decrease,5.0766e-06
fuss,5.0766e-06
inane,5.0766e-06
jar,5.0766e-06
orderliness,5.0766e-06
organism,5.0766e-06
participant,5.0766e-06
pathological,5.0766e-06
pertaining,5.0766e-06
recollection,5.0766e-06
ridicule,5.0766e-06
shiver,5.0766e-06
sparring,5.0766e-06
sphere,5.0766e-06
unintelligent,5.0766e-06
voluntarily,5.0766e-06
wounded,5.0766e-06
arc,4.4156e-06
baffle,4.4156e-06
bred,4.4156e-06
commonality,4.4156e-06
cradle,4.4156e-06
den,4.4156e-06
descent,4.4156e-06
discretion,4.4156e-06
dysfunction,4.4156e-06
enraged,4.4156e-06
estrogen,4.4156e-06
extraction,4.4156e-06
feces,4.4156e-06
herring,4.4156e-06
incest,4.4156e-06
infrequently,4.4156e-06
operative,4.4156e-06
outweigh,4.4156e-06
preserve,4.4156e-06
procreate,4.4156e-06
quota,4.4156e-06
render,4.4156e-06
sag,4.4156e-06
therefor,4.4156e-06
thirdly,4.4156e-06
transaction,4.4156e-06
underwood,4.4156e-06
undiagnosed,4.4156e-06
aluminium,4.0613e-06
amusingly,4.0613e-06
angelica,4.0613e-06
applaud,4.0613e-06
argentum,4.0613e-06
arranger,4.0613e-06
aspen,4.0613e-06
atheism,4.0613e-06
auditorily,4.0613e-06
barrel,4.0613e-06
baseless,4.0613e-06
batch,4.0613e-06
bladder,4.0613e-06
bourbon,4.0613e-06
brink,4.0613e-06
brothel,4.0613e-06
casino,4.0613e-06
celiac,4.0613e-06
chapin,4.0613e-06
charlatan,4.0613e-06
comeuppance,4.0613e-06
competitor,4.0613e-06
